['306', '42', '665', '857', '843', '482', '354', '965', '309', '782', '556', '156', '473', '41', '823', '669', '923', '272', '888', '439']
['0', '749', '63', '350', '392', '103', '23', '765', '21', '235', '425', '195', '915', '428', '842', '513', '831', '660', '501', '477']
['488', '31', '261', '431', '499', '274', '17', '976', '467', '74', '534', '160', '619', '657', '169', '265', '229', '121', '936', '413']
['580', '495', '713', '37', '631', '941', '36', '953', '85', '540', '616', '71', '181', '599', '126', '180', '607', '707', '62', '902']
['101', '224', '149', '317', '653', '231', '581', '322', '433', '211', '347', '693', '854', '777', '649', '706', '910', '841', '551', '820']
['753', '202', '359', '251', '366', '530', '690', '377', '634', '938', '381', '197', '639', '810', '930', '758', '768', '531', '980', '808']
['963', '839', '311', '796', '253', '774', '899', '10', '208', '508', '209', '578', '771', '664', '711', '545', '133', '90', '95', '785']
['640', '990', '635', '751', '610', '557', '485', '744', '124', '874', '147', '222', '120', '924', '443', '241', '260', '192', '1', '715']
['245', '569', '185', '716', '517', '865', '911', '643', '546', '167', '937', '205', '608', '136', '328', '13', '661', '585', '19', '9']
['218', '663', '33', '295', '465', '466', '258', '369', '577', '153', '128', '921', '764', '76', '291', '743', '882', '983', '883', '500']
['410', '539', '759', '568', '174', '24', '257', '522', '552', '849', '575', '114', '973', '194', '982', '625', '550', '788', '65', '327']
['656', '86', '344', '646', '570', '294', '26', '82', '822', '332', '717', '483', '244', '478', '667', '506', '321', '701', '200', '763']
['950', '814', '572', '587', '612', '196', '527', '799', '574', '723', '324', '333', '225', '394', '161', '655', '984', '886', '45', '692']
['836', '336', '131', '778', '897', '687', '352', '791', '835', '152', '199', '464', '532', '432', '16', '59', '371', '219', '720', '172']
['61', '971', '223', '303', '644', '452', '588', '602', '516', '699', '987', '942', '898', '418', '750', '891', '342', '447', '421', '193']
['407', '163', '345', '227', '870', '417', '925', '940', '916', '520', '524', '945', '382', '436', '627', '94', '415', '537', '617', '2']
['892', '118', '378', '958', '638', '408', '832', '877', '171', '7', '275', '422', '108', '992', '969', '597', '928', '875', '279', '445']
['684', '248', '255', '526', '32', '547', '541', '801', '876', '175', '155', '77', '935', '536', '35', '189', '191', '304', '986', '789']
['906', '277', '287', '150', '285', '697', '695', '673', '188', '739', '162', '111', '468', '398', '658', '967', '714', '386', '761', '122']
['307', '355', '978', '519', '430', '6', '89', '12', '975', '70', '920', '766', '497', '143', '948', '997', '900', '40', '404', '604']
['302', '873', '845', '230', '905', '977', '8', '957', '221', '349', '270', '691', '102', '14', '30', '648', '708', '300', '313', '170']
['704', '43', '337', '710', '3', '676', '721', '780', '426', '49', '623', '555', '934', '733', '827', '685', '862', '283', '139', '681']
['423', '738', '881', '424', '998', '613', '732', '254', '461', '573', '479', '109', '939', '50', '918', '793', '748', '603', '234', '29']
['510', '262', '523', '252', '129', '448', '779', '405', '406', '326', '256', '590', '387', '583', '487', '800', '419', '214', '416', '127']
['961', '141', '724', '589', '456', '853', '78', '137', '276', '848', '737', '486', '595', '598', '847', '210', '400', '99', '450', '816']
['367', '637', '393', '803', '263', '269', '650', '203', '442', '64', '351', '858', '446', '927', '266', '299', '731', '455', '184', '323']
['974', '683', '702', '437', '742', '919', '559', '104', '629', '970', '177', '357', '694', '529', '66', '57', '91', '818', '47', '542']
['215', '582', '815', '475', '943', '885', '641', '459', '460', '933', '947', '232', '237', '334', '735', '850', '813', '310', '206', '913']
['926', '979', '339', '38', '34', '884', '246', '472', '233', '624', '236', '278', '909', '474', '725', '53', '806', '628', '505', '729']
['83', '420', '98', '962', '301', '647', '666', '348', '51', '600', '48', '944', '525', '712', '140', '586', '360', '401', '829', '698']
['267', '462', '238', '116', '492', '894', '903', '154', '390', '388', '444', '757', '145', '689', '605', '242', '596', '391', '784', '981']
['719', '481', '566', '280', '346', '912', '548', '491', '790', '964', '861', '376', '158', '220', '96', '148', '896', '700', '106', '901']
['504', '5', '314', '668', '296', '996', '561', '682', '135', '728', '216', '878', '754', '290', '329', '630', '451', '212', '226', '736']
['949', '293', '384', '840', '995', '60', '606', '571', '834', '480', '535', '867', '4', '340', '614', '802', '511', '872', '991', '469']
['411', '809', '247', '250', '69', '298', '239', '370', '80', '271', '929', '746', '399', '434', '68', '27', '385', '73', '593', '115']
