['51', '792', '615', '298', '892', '811', '440', '328', '714', '550', '428', '671', '142', '3', '366', '393', '765', '934', '791', '265']
['823', '48', '809', '416', '890', '379', '983', '415', '696', '27', '636', '644', '149', '645', '647', '944', '891', '718', '598', '19']
['925', '648', '781', '842', '496', '342', '697', '855', '996', '607', '668', '806', '848', '357', '930', '720', '22', '34', '169', '642']
['17', '247', '747', '503', '769', '348', '410', '810', '206', '126', '49', '436', '419', '664', '413', '351', '766', '452', '803', '414']
['256', '79', '105', '294', '817', '310', '1', '455', '140', '564', '815', '933', '655', '616', '713', '913', '514', '450', '204', '508']
['651', '570', '175', '190', '633', '109', '767', '71', '557', '776', '469', '465', '871', '801', '293', '123', '889', '849', '522', '526']
['55', '592', '80', '442', '685', '321', '828', '740', '250', '853', '355', '712', '768', '317', '21', '185', '814', '654', '447', '957']
['573', '44', '872', '950', '35', '246', '302', '690', '43', '736', '785', '497', '239', '404', '99', '572', '724', '678', '417', '484']
['527', '266', '520', '352', '362', '680', '949', '793', '165', '271', '81', '745', '511', '548', '26', '365', '117', '146', '253', '597']
['5', '627', '662', '635', '443', '565', '907', '584', '36', '856', '746', '609', '827', '322', '103', '200', '323', '611', '195', '628']
['425', '929', '962', '100', '749', '656', '885', '394', '535', '553', '251', '679', '143', '329', '243', '94', '38', '378', '863', '873']
['282', '770', '715', '937', '978', '77', '102', '448', '676', '665', '797', '213', '223', '857', '674', '62', '7', '917', '603', '695']
['215', '604', '58', '968', '706', '361', '938', '193', '659', '290', '568', '509', '980', '343', '552', '626', '225', '306', '819', '737']
['947', '489', '384', '118', '545', '432', '681', '56', '822', '478', '779', '794', '398', '354', '682', '741', '755', '473', '909', '710']
['571', '347', '396', '554', '708', '988', '881', '630', '833', '211', '903', '320', '459', '399', '999', '230', '632', '586', '444', '101']
['25', '107', '301', '431', '264', '241', '254', '446', '482', '732', '869', '189', '456', '16', '602', '800', '818', '386', '738', '906']
