['980', '188', '593', '789', '25']
['572', '234', '388', '372', '582']
['907', '778', '204', '4', '987']
['336', '467', '422', '807', '293']
['614', '581', '414', '322', '867']
['964', '682', '735', '612', '130']
['802', '782', '290', '488', '237']
['875', '507', '277', '530', '352']
['792', '759', '485', '427', '770']
['769', '79', '474', '175', '898']
['896', '193', '100', '901', '356']
['696', '787', '139', '105', '122']
['961', '523', '196', '30', '244']
['880', '860', '828', '212', '864']
['943', '405', '607', '126', '76']
['144', '588', '40', '631', '812']
['522', '749', '705', '295', '253']
['595', '84', '307', '255', '655']
['459', '873', '690', '517', '972']
['229', '968', '540', '565', '879']
['858', '392', '698', '444', '124']
['755', '440', '315', '59', '298']
['155', '685', '680', '617', '641']
['6', '242', '976', '57', '615']
['135', '670', '394', '481', '409']
['922', '952', '302', '768', '827']
['195', '439', '877', '75', '748']
['761', '764', '578', '724', '438']
['469', '430', '596', '351', '984']
['780', '603', '815', '737', '363']
['102', '717', '887', '743', '643']
['294', '853', '535', '14', '683']
['72', '209', '700', '46', '621']
['639', '715', '704', '534', '527']
['933', '15', '872', '821', '855']
['275', '411', '114', '660', '744']
['625', '484', '218', '67', '665']
['708', '554', '319', '181', '116']
['288', '150', '170', '167', '791']
['996', '652', '434', '775', '370']
['804', '710', '783', '266', '637']
['622', '148', '456', '137', '417']
['688', '461', '912', '272', '703']
['538', '473', '917', '675', '874']
['48', '529', '528', '762', '121']
['702', '977', '16', '525', '546']
['331', '597', '906', '447', '664']
['441', '247', '154', '594', '730']
['931', '449', '198', '736', '520']
['468', '131', '967', '93', '263']
['338', '123', '634', '300', '127']
