['689', '669', '244', '872', '82', '501', '739', '617', '317', '952']
['481', '586', '239', '920', '857', '435', '398', '479', '635', '970']
['445', '29', '449', '997', '358', '599', '959', '253', '626', '964']
['172', '262', '578', '324', '278', '885', '486', '133', '57', '18']
['158', '365', '766', '625', '316', '83', '931', '109', '917', '14']
['450', '762', '152', '405', '657', '953', '378', '908', '955', '900']
['531', '844', '137', '646', '560', '821', '134', '374', '639', '987']
['425', '326', '692', '124', '969', '946', '724', '745', '489', '470']
['444', '116', '679', '217', '972', '373', '140', '23', '965', '144']
['246', '517', '866', '886', '520', '791', '511', '463', '993', '775']
['550', '93', '254', '587', '916', '666', '453', '58', '852', '925']
['884', '309', '187', '387', '285', '809', '937', '922', '554', '746']
['957', '54', '732', '386', '758', '728', '715', '164', '69', '96']
['914', '845', '431', '141', '350', '282', '690', '552', '197', '26']
['704', '390', '903', '612', '574', '105', '927', '474', '426', '44']
['705', '740', '542', '73', '880', '597', '223', '778', '429', '132']
['271', '305', '897', '24', '950', '820', '966', '850', '534', '533']
['265', '178', '213', '467', '81', '825', '718', '293', '767', '756']
['869', '615', '822', '56', '352', '267', '645', '188', '981', '67']
['754', '522', '468', '609', '31', '904', '761', '674', '292', '420']
['598', '988', '571', '110', '359', '581', '255', '128', '438', '991']
['980', '211', '541', '721', '303', '307', '901', '484', '943', '804']
['483', '446', '863', '736', '892', '234', '794', '74', '122', '858']
['865', '473', '864', '930', '85', '928', '631', '92', '835', '86']
['515', '986', '273', '268', '173', '790', '302', '98', '776', '893']
['225', '404', '123', '48', '523', '913', '510', '594', '102', '53']
['295', '989', '171', '283', '828', '272', '604', '389', '535', '437']
['199', '967', '818', '402', '700', '939', '584', '135', '995', '356']
['572', '563', '391', '585', '399', '499', '327', '977', '343', '376']
['518', '507', '711', '409', '948', '564', '349', '614', '330', '887']
['797', '194', '154', '298', '540', '547', '623', '888', '906', '19']
['174', '671', '826', '680', '118', '843', '9', '381', '873', '226']
['693', '545', '477', '215', '50', '643', '854', '139', '911', '65']
['684', '460', '771', '497', '699', '27', '546', '397', '649', '750']
['632', '985', '576', '167', '296', '46', '530', '751', '743', '331']
['703', '294', '388', '485', '627', '47', '440', '75', '525', '230']
['605', '169', '502', '448', '954', '951', '1', '924', '15', '577']
['544', '322', '537', '256', '789', '793', '708', '80', '961', '345']
['277', '36', '752', '5', '580', '68', '861', '274', '35', '248']
['675', '833', '998', '603', '899', '185', '691', '727', '664', '838']
['384', '575', '706', '506', '443', '13', '42', '61', '259', '480']
['231', '25', '342', '341', '813', '344', '120', '795', '514', '323']
