['11', '133', '470', '274', '196', '758', '886', '922', '200', '979']
['279', '549', '453', '969', '959', '326', '338', '319', '346', '149']
['901', '352', '933', '813', '987', '893', '455', '283', '373', '410']
['809', '667', '520', '714', '721', '952', '447', '796', '876', '757']
['403', '85', '386', '537', '722', '785', '856', '675', '954', '904']
['316', '50', '575', '792', '760', '465', '817', '166', '816', '587']
['583', '128', '125', '487', '631', '824', '380', '773', '459', '663']
['391', '789', '95', '905', '622', '860', '105', '472', '232', '512']
['384', '344', '324', '165', '360', '983', '776', '958', '626', '452']
['748', '854', '719', '823', '48', '935', '241', '976', '896', '416']
['775', '941', '535', '124', '219', '307', '179', '561', '827', '496']
['418', '158', '528', '569', '365', '550', '27', '275', '368', '551']
['795', '783', '557', '327', '415', '826', '857', '446', '546', '607']
['735', '77', '135', '413', '680', '61', '372', '764', '412', '699']
['909', '277', '596', '33', '966', '493', '23', '60', '127', '906']
['877', '885', '529', '771', '925', '727', '176', '337', '17', '35']
['252', '30', '333', '395', '201', '433', '808', '65', '524', '733']
['584', '865', '889', '655', '206', '312', '928', '780', '49', '612']
['942', '255', '560', '449', '227', '651', '559', '284', '648', '139']
['444', '670', '779', '998', '747', '150', '613', '864', '263', '837']
['400', '781', '443', '114', '787', '70', '673', '788', '778', '54']
['586', '519', '40', '290', '45', '197', '566', '738', '309', '421']
['660', '98', '335', '2', '908', '594', '654', '881', '489', '749']
['834', '518', '329', '20', '256', '58', '862', '322', '367', '825']
['394', '990', '122', '494', '463', '585', '696', '285', '690', '321']
['29', '531', '929', '606', '973', '120', '659', '921', '639', '913']
['502', '777', '280', '590', '786', '598', '782', '224', '341', '473']
['628', '121', '194', '332', '130', '210', '81', '850', '829', '768']
['288', '523', '153', '691', '510', '155', '503', '542', '914', '611']
['426', '157', '188', '965', '12', '490', '629', '679', '8', '672']
['805', '180', '974', '700', '716', '581', '198', '129', '184', '82']
['709', '687', '119', '961', '919', '800', '189', '526', '55', '481']
['478', '104', '311', '39', '220', '981', '59', '875', '610', '765']
['102', '297', '898', '405', '853', '562', '950', '6', '802', '336']
['118', '730', '874', '464', '838', '432', '112', '371', '353', '798']
['751', '428', '698', '51', '657', '161', '669', '239', '637', '538']
['278', '677', '571', '382', '387', '972', '136', '145', '532', '323']
['440', '345', '986', '960', '292', '216', '739', '591', '75', '57']
['548', '509', '228', '268', '790', '703', '956', '25', '212', '907']
['737', '556', '177', '24', '752', '736', '356', '645', '812', '822']
['620', '160', '515', '183', '717', '93', '116', '750', '246', '361']
['154', '266', '506', '911', '475', '756', '78', '7', '678', '182']
['763', '957', '409', '577', '402', '649', '457', '930', '683', '978']
['967', '897', '273', '209', '388', '26', '195', '369', '869', '431']
['989', '940', '964', '298', '483', '759', '306', '374', '240', '988']
